,property,units,n_points,value,PID,formula,polymername
1,Glass transition temp.,C,2,-71.0,P070136,C13H22O5,poly(oxydiethylene azelate)
2,Melting temp.,C,1,-33.5,P070136,C13H22O5,poly(oxydiethylene azelate)
1,Glass transition temp.,C,2,-74.5,P070137,C14H24O5,poly(oxydiethylene sebacate)
2,Melting temp.,C,6,40.0,P070137,C14H24O5,poly(oxydiethylene sebacate)
1,Melting temp.,C,4,31.5,P070138,C16H28O6,poly[(triethylene glycol)-alt-(decanedioic acid)]
1,Glass transition temp.,C,8,87.5,P070140,C8H6O5,"poly(ethylene-2,5-furandicarboxylate)"
2,Melting temp.,C,7,202.0,P070140,C8H6O5,"poly(ethylene-2,5-furandicarboxylate)"
4,Tensile modulus,GPa,3,2.75,P070140,C8H6O5,"poly(ethylene-2,5-furandicarboxylate)"
1,Glass transition temp.,C,1,25.0,P070141,C14H16O5,poly(dipropylene glycol phthalate)
1,Glass transition temp.,C,1,16.0,P070142,C12H12O5,poly(oxydiethylene isophthalate)
2,Melting temp.,C,3,72.5,P070142,C12H12O5,poly(oxydiethylene isophthalate)
1,Glass transition temp.,C,3,76.5,P070143,C9H8O3,poly(ethylene p-oxybenzoate)
2,Melting temp.,C,6,218.5,P070143,C9H8O3,poly(ethylene p-oxybenzoate)
4,Tensile modulus,GPa,4,6.8500000000000005,P070143,C9H8O3,poly(ethylene p-oxybenzoate)
1,Melting temp.,C,1,85.0,P070144,C13H14O5,poly[ethylene p-(carboxyphenoxy)butyrate]
1,Melting temp.,C,1,45.0,P070145,C15H18O5,poly[ethylene p-(carboxyphenoxy)caproate]
1,Melting temp.,C,1,55.0,P070146,C14H16O5,poly[ethylene p-(carboxyphenoxy)valerate]
1,Melting temp.,C,1,55.0,P070147,C16H20O5,poly[ethylene p-(carboxyphenoxy)heptanoate]
1,Melting temp.,C,1,65.0,P070148,C20H28O5,poly[ethylene p-(carboxyphenoxy)undecanoate]
1,Melting temp.,C,1,50.0,P070149,C15H18O5,poly[hexamethylene p-(carboxyphenoxy)acetate]
1,Melting temp.,C,1,60.0,P070151,C19H26O5,poly[hexamethylene p-(carboxyphenoxy)caproate]
1,Melting temp.,C,1,60.0,P070152,C18H24O5,poly[hexamethylene p-(carboxyphenoxy)valerate]
1,Melting temp.,C,1,72.0,P070155,C24H36O5,poly[hexamethylene p-(carboxyphenoxy)undecanoate]
1,Melting temp.,C,2,172.0,P070156,C10H10O3,poly(ethylene p-oxyphenylene acetate)
1,Melting temp.,C,1,140.0,P070157,C11H10O5,poly[ethylene p-(carboxyphenoxy)acetate]
1,Glass transition temp.,C,1,74.0,P070158,C16H12O5,"poly[(ethylene glycol)-alt-(4,4'-oxydibenzoyl dichloride)]"
2,Melting temp.,C,1,134.0,P070158,C16H12O5,"poly[(ethylene glycol)-alt-(4,4'-oxydibenzoyl dichloride)]"
1,Melting temp.,C,7,262.5,P070159,C18H16O6,"poly[ethylene 4,4'-(ethylenedioxy)dibenzoate]"
1,Melting temp.,C,1,141.0,P070160,C18H16O6,"poly[ethylene 3,3'-(ethylenedioxy)dibenzoate]"
1,Melting temp.,C,1,100.0,P070162,C21H22O8,"poly{2,2'-[propane-1,3-diylbis(oxy-3-methoxy-1,4-phenylenecarbonyloxy)]diethanol}"
1,Glass transition temp.,C,1,53.0,P070163,C20H20O6,"poly{(ethylene glycol)-alt-[4,4'-(butane-1,4-diyldioxy)dibenzoic acid]}"
2,Melting temp.,C,2,252.0,P070163,C20H20O6,"poly{(ethylene glycol)-alt-[4,4'-(butane-1,4-diyldioxy)dibenzoic acid]}"
1,Melting temp.,C,1,100.0,P070164,C20H20O6,"poly[ethylene 3,3'-(tetramethylenedioxy) dibenzoate]"
1,Melting temp.,C,1,106.5,P070166,C22H24O9,"poly{bis(2-hydroxyethyl) 3,3'-dimethoxy-4,4'-[oxybis(ethyleneoxy)]dibenzoate}"
1,Glass transition temp.,C,1,26.0,P070167,C19H18O5,"poly[(pentane-1,5-diol)-alt-(4,4'-oxydibenzoyl dichloride)]"
2,Melting temp.,C,1,70.0,P070167,C19H18O5,"poly[(pentane-1,5-diol)-alt-(4,4'-oxydibenzoyl dichloride)]"
1,Glass transition temp.,C,1,15.0,P070168,C20H20O5,"poly[(hexane-1,6-diol)-alt-(4,4'-oxydibenzoyl dichloride)]"
2,Melting temp.,C,1,74.0,P070168,C20H20O5,"poly[(hexane-1,6-diol)-alt-(4,4'-oxydibenzoyl dichloride)]"
1,Melting temp.,C,1,175.0,P070169,C22H24O6,"poly[hexamethylene 4,4'-(ethylene dioxy)dibenzoate]"
1,Glass transition temp.,C,1,-50.0,P070319,C12H12O5,poly(diethylene glycol phthalate)
2,Melting temp.,C,2,10.5,P070319,C12H12O5,poly(diethylene glycol phthalate)
1,Melting temp.,C,1,105.0,P070320,C22H24O8,"poly{2,2'-[butane-1,3-diylbis(oxy-3-methoxy-1,4-phenylenecarbonyloxy)]diethanol}"
1,Glass transition temp.,C,2,-28.0,P070323,C6H8O5,poly(oxydiethylene oxalate)
2,Melting temp.,C,1,7.5,P070323,C6H8O5,poly(oxydiethylene oxalate)
1,Glass transition temp.,C,2,-41.5,P070324,C7H10O5,poly(diethylene glycol malonate)
2,Melting temp.,C,1,-14.5,P070324,C7H10O5,poly(diethylene glycol malonate)
1,Glass transition temp.,C,2,-29.0,P070325,C8H12O5,poly[oxyethyleneoxyethyleneoxy(2-methylpropanedioyl)]
1,Glass transition temp.,C,2,-38.0,P070326,C10H16O5,"poly[(2,2'-oxydiethanol)-alt-(dimethyl 2-propylpropanedioate)]"
1,Glass transition temp.,C,2,-47.0,P070327,C12H20O5,poly(oxyethyleneoxyethyleneoxy-2-pentylmalonyl)
1,Glass transition temp.,C,2,-58.0,P070328,C14H24O5,poly(oxydiethylene heptylmalonate)
1,Glass transition temp.,C,2,-59.0,P070329,C16H28O5,poly(oxydiethylene nonylmalonate)
1,Glass transition temp.,C,13,-43.5,P070330,C8H12O5,poly(oxydiethylene succinate)
2,Melting temp.,C,2,-9.5,P070330,C8H12O5,poly(oxydiethylene succinate)
1,Glass transition temp.,C,2,-55.0,P070331,C9H14O5,poly(oxydiethylene glutarate)
2,Melting temp.,C,3,-21.0,P070331,C9H14O5,poly(oxydiethylene glutarate)
1,Glass transition temp.,C,9,-56.0,P070332,C10H16O5,"poly[(2,2'-oxydiethanol)-alt-(adipic acid)"
2,Melting temp.,C,4,-26.5,P070332,C10H16O5,"poly[(2,2'-oxydiethanol)-alt-(adipic acid)"
1,Glass transition temp.,C,4,-51.0,P070333,C11H18O5,poly(oxydiethylene pimelate)
2,Melting temp.,C,1,-29.0,P070333,C11H18O5,poly(oxydiethylene pimelate)
1,Glass transition temp.,C,2,-66.0,P070334,C12H20O5,poly(oxydiethylene suberate)
2,Melting temp.,C,2,31.5,P070334,C12H20O5,poly(oxydiethylene suberate)
1,Glass transition temp.,C,1,-68.0,P070335,C22H40O5,poly(diethylene glycol octadecanedioate)
1,Glass transition temp.,C,2,95.0,P070337,C20H20O4,"poly[oxyethyleneoxycarbonyl-1,4-phenylene(ethylmethylmethylene)-1,4-phenylenecarbonyl]"
3,Tensile modulus,GPa,1,2.3,P070337,C20H20O4,"poly[oxyethyleneoxycarbonyl-1,4-phenylene(ethylmethylmethylene)-1,4-phenylenecarbonyl]"
1,Glass transition temp.,C,1,57.0,P070433,C17H14O5,"poly(trimethylene 4,4'-oxydibenzoate)"
2,Melting temp.,C,1,90.0,P070433,C17H14O5,"poly(trimethylene 4,4'-oxydibenzoate)"
1,Glass transition temp.,C,1,38.0,P070434,C18H16O5,"poly(tetramethylene 4,4'-oxydibenzoate)"
